# Pi-hole allowlist
# format: status|domain|comment

enabled|ns2.dropbox.com|Dropbox nameserver. Used to download files from Dropbox - qjz9zk
enabled|o1.email.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|o2.sg0.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|ocsp.apple.com|iOS developers are able to distribute apps outside of the App Store using an Enterprise provisioning profile. Apple can revoke these kinds of apps by using this domain. - qjz9zk
enabled|office.com|Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk
enabled|office.net|Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk
enabled|office365.com|Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk
enabled|officeclient.microsoft.com|Used by Microsoft Office apps. - qjz9zk
enabled|ojrq.net|
enabled|om.cbsi.com|CBS All Access on straming platforms. - qjz9zk
enabled|onedrive.live.com|Owned by Microsoft. Used to sign in to One Drive. - qjz9zk
enabled|onenetworkdirect.net|
enabled|outlook.live.com|Owned by Microsoft. Used for Outlook email. - qjz9zk
enabled|outlook.office365.com|Owned by Microsoft. Used for Outlook email.ent - qjz9zk
enabled|ovp.peacocktv.com|
enabled|partners.webmasterplan.com|
enabled|pconfig-prd.cdn.peacocktv.com|
enabled|pings.conviva.com|Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk
enabled|pjatr.com|
enabled|pjtra.com|
enabled|placehold.it|Placehold.it, Image placeholders often used during web page loading. - qjz9zk
enabled|placeholdit.imgix.net|Placehold.it, Image placeholders often used during web page loading. - qjz9zk
enabled|play.ovp.peacocktv.com|
enabled|players.brightcove.net|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|pntra.com|
enabled|pntrac.com|
enabled|pntrack.com|
enabled|pricelist.skype.com|Used to make group calls, group chats etc. on Skype. - qjz9zk
enabled|products.office.com|Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk
enabled|proxy.plex.bz|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|proxy.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|proxy02.pop.ord.plex.bz|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|pubads.g.doubleclick.net|Paramount Plus
enabled|pubsub.plex.bz|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|pubsub.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|qksrv.net|
enabled|raw.githubusercontent.com|Owned by GitHub. It is used to serve unprocessed versions of files stored in GitHub repositories.  - qjz9zk
enabled|redirect.at|
enabled|redirect.viglink.com|
enabled|redirectingat.com|
enabled|redirector.googlevideo.com|Used by YouTube to play embedded videos on third-party websites. - qjz9zk
enabled|res.cloudinary.com|Cloudinary provides a cloud-based image and video management services. It enables users to upload, store, manage, manipulate, and deliver images and video for websites and apps. - qjz9zk
enabled|rum.api.intuit.com|Added from Query Log
enabled|s.gateway.messenger.live.com|Owned by Microsoft. It is a personal information manager web app from Microsoft consisting of webmail, calendaring, contacts, and tasks services. - qjz9zk
enabled|s.marketwatch.com|Images are loaded on marketwatch.com using this domain. - qjz9zk
enabled|s.youtube.com|Used to record YouTube watch history. Blocking this domain will pause your watch history on YouTube. - qjz9zk
enabled|s.ytimg.com|Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk
enabled|s1.wp.com|Owned by WordPress. Used to feliver static files and media for websites which are hosted on wordpress.com platform. - qjz9zk
enabled|s2.youtube.com|Used to record YouTube watch history. Blocking this domain will pause your watch history on YouTube. - qjz9zk
enabled|s3.amazonaws.com|Used to deliver files that are stored in Amazon AWS S3 storage buckets. - qjz9zk
enabled|sa.symcb.com|Owned by Symantec. These are Symantec Certificate Revocation List servers and are used by a number of companies including Microsoft. - qjz9zk
enabled|saa.cbsi.com|
enabled|saa.paramountplus.com|
enabled|sdk.iad-01.braze.com|Added from Query Log
enabled|sdk.split.io|Added from Query Log
enabled|secure.avangate.com|Used to perform online payments. - qjz9zk
enabled|secure.brightcove.com|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|secure.surveymonkey.com|Used by Survey Monkey to deliver surveys. - qjz9zk
enabled|services.sonarr.tv|Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk
enabled|shareasale-analytics.com|
enabled|shareasale.com|
enabled|skyhook.sonarr.tv|Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk
enabled|spclient.wg.spotify.com|Spotify on Web and desktop player does not work if this domain is blocked. - qjz9zk
enabled|ssl.p.jwpcdn.com|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|staging.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|status.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|t.co|Owned by Twitter. Used as a URL shortner while sharing Twitter posts. - qjz9zk
enabled|t0.ssl.ak.dynamic.tiles.virtualearth.net|Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk
enabled|t0.ssl.ak.tiles.virtualearth.net|Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk
enabled|tags.tiqcdn.com|Paramount Plus Timestamp
enabled|tawk.to|Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk
enabled|tc.tradetracker.com|
enabled|tedcdn.com|Used by ted.com streams. - qjz9zk
enabled|themoviedb.com|Metadata for movies - qjz9zk
enabled|thetvdb.com|Metadata for TV series - qjz9zk
enabled|thumbnails.cbsig.net|
enabled|time.samsungcloudaolutions.com|Samsung TV
enabled|tinyurl.com|Popular URL shortner - qjz9zk
enabled|title.auth.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
